FUA code,FUA name,FUA-code,X,Y,C_urban woody feature_FUA_%
DE084,Mannheim-Ludwigshafen,DE084,8.3943996,49.5028,43.627228588
DE504,Münster,*,7.4214201,51.885601,22.563618536
DE505,Chemnitz,DE505,12.9118004,50.8263016,33.297572090
DE507,Aachen,*,6.2168398,50.7280006,46.933963764
DE508,Krefeld,*,6.5796199,51.3454018,29.150329377
DE510,Lübeck,DE510,10.8100996,54.1500015,18.585362473
DE513,Kassel,DE513,9.4109697,51.3945999,45.505616854
DE516,Solingen,*,7.0662899,51.1623001,50.637747684
DE517,Osnabrück,DE517,8.04527,52.3759995,28.579425538
DE520,Oldenburg (Oldenburg),DE520,8.23528,53.0854988,25.541410047
DE522,Heidelberg,*,8.7602901,49.3718987,44.957939088
DE523,Paderborn,DE523,8.7194405,51.6641998,35.598075392
DE524,Würzburg,DE524,9.8864002,49.8532982,41.792479005
DE527,Bremerhaven,*,8.80371,53.6144981,19.257326176
DE529,Heilbronn,DE529,9.1900702,49.1750984,31.729376263
DE530,Remscheid,*,7.2243299,51.1827011,50.483630449
DE532,Ulm,DE532,9.9158897,48.3742981,33.879729201
DE533,Pforzheim,DE533,8.7334604,48.9089012,49.548729837
DE534,Ingolstadt,DE534,11.3676004,48.7504005,34.332781357
DE535,Gera,DE535,12.0754004,50.7706985,32.995663002
DE537,Reutlingen,DE537,9.3657598,48.4065018,46.691228103
DE539,Cottbus,DE539,14.4271002,51.7598991,50.069111030
DE540,Siegen,DE540,8.03263,50.8703995,70.511162492
DE542,Hildesheim,DE542,9.9435196,52.0901985,29.473640971
DE544,Zwickau,*,12.5257998,50.7508011,27.568301842
DE546,Wuppertal,*,7.1689501,51.2505989,46.217766659
DE547,Jena,*,11.7137003,50.9067001,44.538693514
DE548,Düren,DE548,6.4457002,50.8179016,27.167641194
DE549,Bocholt,*,6.89959,51.9613991,20.268079632
DK001,København,DK001,12.2250004,55.7714996,25.471390913
DK002,Århus,DK002,10.1653004,56.2879982,25.680468246
DK003,Odense,DK003,10.3703003,55.2699013,18.094595473
DK004,Aalborg,DK004,9.92346,57.1071014,20.680417473
EE001,Tallinn,EE001,24.9204998,59.3093987,63.552532007
EE002,Tartu,EE002,26.7413006,58.3678017,52.926868815
EE003,Narva,EE003,28.1088009,59.3541985,48.402583482
EL001,Athina,EL001,23.6933994,38.0435982,22.986349934
EL002,Thessaloniki,EL002,23.0879993,40.6156998,32.433292201
EL003,Patra,EL003,21.8414993,38.2136002,50.242788552
EL004,Irakleio,EL004,25.0706005,35.2944984,34.708321541
EL005,Larisa,EL005,22.4463997,39.6327019,9.999733238
EL006,Volos,EL006,22.9424,39.3793983,35.598713684
EL007,Ioannina,EL007,20.8460999,39.6568985,55.311230975
EL008,Kavala,EL008,24.4048996,41.0122986,45.469140056
EL009,Kalamata,EL009,22.1355991,37.1018982,65.718385888
ES001,Madrid,*,-3.7910199,40.3908005,27.443631137
ES002,Barcelona,ES002,2.0569899,41.5027008,52.304705971
ES003,Valencia,ES003,-0.562877,39.5307007,43.869996247
ES004,Sevilla,ES004,-5.8898301,37.3787994,28.338412763
ES005,Zaragoza,ES005,-0.832581,41.6871986,9.276020533
ES006,Málaga,ES006,-4.5676098,36.8021011,52.645116731
ES007,Murcia,ES007,-1.12906,37.9650002,37.968552793
ES008,Las Palmas,ES008,-15.5676003,28.0431995,31.172947675
ES009,Valladolid,ES009,-4.76088,41.5954018,23.478828213
ES010,Palma de Mallorca,ES010,2.8022001,39.5825996,41.175658825
ES011,Santiago de Compostela,ES011,-8.5230703,42.9062996,61.083934360
ES012,Vitoria/Gasteiz,ES012,-2.69942,42.8468018,42.117276802
ES013,Oviedo,*,-5.8926201,43.3562012,47.121843809
ES014,Pamplona/Iruña,ES014,-1.63028,42.894001,46.428224734
ES015,Santander,ES015,-3.85973,43.3862,30.132263210
ES016,Toledo,ES016,-4.06568,39.8297005,26.771498583
ES017,Badajoz,*,-6.9021802,38.8311005,43.094995912
ES018,Logroño,ES018,-2.44891,42.4542007,13.466230232
ES019,Bilbao,ES019,-3.0362799,43.2403984,62.958645254
ES020,Córdoba,ES020,-4.7396898,37.8717003,38.158428003
ES021,Alicante/Alacant,ES021,-0.499116,38.4071007,11.965811492
ES022,Vigo,ES022,-8.6117296,42.1781006,51.428775153
ES023,Gijón,ES023,-5.57934,43.4998016,44.356374703
ES025,Santa Cruz de Tenerife,ES025,-16.3582001,28.4281998,28.288378055
ES026,Coruña (A),ES026,-8.3659296,43.2550011,53.435392548
ES028,Reus,ES028,1.08219,41.1489983,56.835902816
ES031,Lugo,ES031,-7.5981002,43.0054016,54.916715676
ES033,Girona,ES033,2.78708,41.9558983,59.929701142
ES034,Cáceres,ES034,-6.4682298,39.4196014,39.756335034
ES035,Torrevieja,ES035,-0.712395,38.0037994,21.876819174
ES039,Avilés,ES039,-5.96313,43.5315018,47.256706668
ES040,Talavera de la Reina,ES040,-4.8941898,39.9552002,34.743333881
ES041,Palencia,ES041,-4.5239701,42.0045013,15.797650127
ES043,Ferrol,ES043,-8.1548405,43.5225983,49.950231474
ES044,Pontevedra,ES044,-8.57059,42.4519005,62.428096732
ES046,Gandia,ES046,-0.210099,38.9403992,54.775740379
ES048,Guadalajara,ES048,-3.1721201,40.6357994,20.895284894
ES050,Manresa,ES050,1.8256201,41.7584,48.055436014
ES053,Ciudad Real,ES053,-3.9318299,39.0056,24.184314837
ES054,Benidorm,ES054,-0.177395,38.5626984,36.483041227
ES057,Ponferrada,ES057,-6.5999999,42.5317993,49.037646316
ES059,Zamora,ES059,-5.7726898,41.5088997,8.980718768
ES070,Irun,ES070,-1.80198,43.3372002,58.705999022
ES072,Arrecife,ES072,-13.5761995,29.0858002,0.801957780
ES501,Granada,ES501,-3.5692,37.1680984,45.140761869
ES505,Elche/Elx,*,-0.650325,38.2400017,19.761412151
ES506,Cartagena,*,-0.979285,37.638401,21.906406588
ES508,Jerez de la Frontera,*,-5.9805999,36.6925011,20.134109600
ES510,Donostia-San Sebastián,ES510,-1.9533,43.2666016,66.530533152
ES514,Almería,ES514,-2.3642499,36.8851013,5.506891499
ES515,Burgos,ES515,-3.66307,42.3740005,16.772322031
ES516,Salamanca,ES516,-5.6694999,40.9580994,13.901399238
ES519,Albacete,ES519,-1.81031,38.9748001,8.037863597
ES520,Castellón/Castelló,ES520,-0.0308513,40.0317001,52.799025598
ES521,Huelva,ES521,-6.9342699,37.3652992,38.920703270
ES522,Cádiz,*,-6.1357498,36.5122986,14.441093648
ES523,León,ES523,-5.5873199,42.6707993,33.142236381
ES525,Tarragona,*,1.23733,41.1473007,42.362781891
ES527,Jaén,ES527,-3.83376,37.8088989,81.445196623
ES528,Lleida,ES528,0.605068,41.6347008,29.410125884
ES529,Ourense,ES529,-7.8559599,42.3135986,65.099874212
ES532,Algeciras,ES532,-5.5408502,36.1963005,61.065059090
ES533,Marbella,*,-4.8717399,36.5647011,59.869547926
ES537,Alcoy,ES537,-0.485118,38.6973991,61.940861020
ES538,Ávila,ES538,-4.6359801,40.5894012,25.015464880
ES542,Cuenca,ES542,-2.05953,40.1884995,69.015247085
ES543,Eivissa,ES543,1.40992,38.9831009,54.566164992
ES544,Linares,ES544,-3.6425099,38.0695,69.271350224
ES545,Lorca,ES545,-1.75919,37.6869011,27.861897497
ES546,Mérida,ES546,-6.3926802,38.9557991,45.107062243
ES547,Sagunto,ES547,-0.279817,39.6880989,61.629073214
ES550,Puerto de la Cruz,ES550,-16.5779991,28.3146992,25.188708235
ES552,Igualada,ES552,1.59342,41.5733986,53.432046674
FI001,Helsinki,FI001,24.8903999,60.3466988,58.744681831
FI002,Tampere,FI002,23.9223003,61.5421982,65.092459606
FI003,Turku,FI003,22.2598,60.5161018,58.854697945
FI004,Oulu,FI004,25.7940006,65.1160965,74.207602981
FI007,Lahti,FI007,25.7434998,61.0541992,62.067096919
FI008,Kuopio,FI008,27.8209991,62.8656006,67.958812570
FI009,Jyväskylä,FI009,25.8022995,62.2317009,72.303817339
FR001,Paris,*,2.3334301,48.8521996,28.908434883
FR003,Lyon,FR003,4.9065599,45.7577019,27.264769783
FR004,Toulouse,FR004,1.39036,43.5388985,21.343173244
FR006,Strasbourg,FR006,7.5606499,48.5862999,32.652346607
FR007,Bordeaux,FR007,-0.695595,44.7939987,61.298061789
FR008,Nantes,FR008,-1.58866,47.2512016,20.440278298
FR009,Lille,FR009,2.99277,50.6104012,15.446134148
FR010,Montpellier,FR010,3.77384,43.6873016,38.533387017
FR011,Saint-Etienne,FR011,4.3058901,45.4421005,43.649405391
FR012,Le Havre,FR012,0.298073,49.5732002,14.269974300
FR013,Rennes,FR013,-1.75306,48.0792007,18.517764401
FR014,Amiens,FR014,2.2776,49.9057999,17.157827079
FR016,Nancy,FR016,6.1824899,48.6380005,34.887905319
FR017,Metz,FR017,6.1791201,49.0808983,25.366222313
FR018,Reims,FR018,4.0411801,49.3213997,19.531683548
FR019,Orléans,FR019,1.9134099,47.8958015,38.641119066
FR020,Dijon,FR020,5.0576801,47.3478012,42.949478709
FR021,Poitiers,FR021,0.336995,46.5344009,24.933943674
FR022,Clermont-Ferrand,FR022,3.1440101,45.8073006,33.616428965
FR023,Caen,FR023,-0.419503,49.1197014,16.014956453
FR024,Limoges,FR024,1.27595,45.8216019,40.869872678
FR025,Besançon,FR025,6.0132098,47.2421989,51.972469264
FR026,Grenoble,FR026,5.70503,45.1469002,58.862219690
FR027,Ajaccio,,8.9035101,41.9793015,63.195222610
FR032,Toulon,FR032,6.0589499,43.1985016,59.234374451
